setting,delta,valid_cov,mu1,mu2,cov11,cov12,cov22,pval_mean,pval_std,pval_base_mean,pval_base_std,pval_recon_mean,pval_recon_std,pval_uniform_mean,pval_uniform_std,ks_p_prop_mean,ks_p_prop_std,ks_p_base_mean,ks_p_base_std,ks_p_recon_mean,ks_p_recon_std,ks_p_uniform_mean,ks_p_uniform_std,label_prob_base_mean,label_prob_base_std,label_prob_shift_mean,label_prob_shift_std
df2,0.8500000000000001,True,0.8500000000000001,0.0,1.0,0.0,1.0,1.01679630810729e-10,3.0607245380439907e-10,4.838612676430654e-45,3.235374376553127e-44,1.0,0.0,1.2389458050217294e-197,0.0,1.01679630810729e-10,3.0607245380439907e-10,4.838612676430654e-45,3.235374376553127e-44,1.0,0.0,1.2389458050217294e-197,0.0,0.918001492023468,0.004035250499676353,0.8376628339290619,0.003788472323195478
df2,0.9,True,0.9,0.0,1.0,0.0,1.0,2.8243100125873153e-12,1.4774504209187124e-11,3.14668601579229e-54,2.2250413249717384e-53,1.0,0.0,2.0575770078145455e-222,0.0,2.8243100125873153e-12,1.4774504209187124e-11,3.14668601579229e-54,2.2250413249717384e-53,1.0,0.0,2.0575770078145455e-222,0.0,0.9176050114631653,0.003720664427153444,0.8262163484096527,0.005417089630610494
df2,0.9500000000000001,True,0.9500000000000001,0.0,1.0,0.0,1.0,7.939535211231102e-16,3.1560203485472396e-15,1.415158962161336e-63,7.760014101065841e-63,1.0,0.0,4.78105380959032e-256,0.0,7.939535211231102e-16,3.1560203485472396e-15,1.415158962161336e-63,7.760014101065841e-63,1.0,0.0,4.78105380959032e-256,0.0,0.9185619831085206,0.0037210995546991944,0.8171445953845978,0.004373424923834052
df2,1.0,True,1.0,0.0,1.0,0.0,1.0,4.931525518077777e-19,1.7311662658022689e-18,3.9244098213621496e-67,2.774691898226286e-66,1.0,0.0,1.5033075765922585e-272,0.0,4.931525518077777e-19,1.7311662658022689e-18,3.9244098213621496e-67,2.774691898226286e-66,1.0,0.0,1.5033075765922585e-272,0.0,0.9178650546073913,0.004002232631362028,0.8090404593944549,0.005320445427501522
df3,0.0,True,-1.0,0.0,1.0,0.0,1.0,0.502944009323828,0.30475152372015635,0.455812721462157,0.28646144801059614,1.0,0.0,0.5568680133357927,0.2825035144606061,0.502944009323828,0.30475152372015635,0.455812721462157,0.28646144801059614,1.0,0.0,0.5568680133357927,0.2825035144606061,0.8005750715732575,0.005601116731130325,0.7989467906951905,0.005406332641034796
df3,0.05,True,-1.0,0.05,1.0,0.0,1.0,0.27469119204143394,0.29678601724709447,0.2230239344683906,0.27339984715631144,1.0,0.0,0.4560376416261837,0.31396064615094577,0.27469119204143394,0.29678601724709447,0.2230239344683906,0.27339984715631144,1.0,0.0,0.4560376416261837,0.31396064615094577,0.7991833508014679,0.006174049330614048,0.7981980514526367,0.0052412178330541095
df3,0.1,True,-1.0,0.1,1.0,0.0,1.0,0.08620914697773217,0.12512505258398032,0.01078740217973824,0.030284154649963875,1.0,0.0,0.4514347979297911,0.24586219455493977,0.08620914697773217,0.12512505258398032,0.01078740217973824,0.030284154649963875,1.0,0.0,0.4514347979297911,0.24586219455493977,0.7977587580680847,0.004792284551434536,0.7996362912654876,0.005776329516583585
df3,0.15000000000000002,True,-1.0,0.15000000000000002,1.0,0.0,1.0,0.00646815541619206,0.016064312742030743,9.851153238646282e-05,0.00037321721613798963,1.0,0.0,0.5071943404846506,0.31613176505028917,0.00646815541619206,0.016064312742030743,9.851153238646282e-05,0.00037321721613798963,1.0,0.0,0.5071943404846506,0.31613176505028917,0.7985832345485687,0.004568921659412783,0.7983128345012664,0.006268102839818357
df3,0.2,True,-1.0,0.2,1.0,0.0,1.0,0.0013501517994551828,0.004543882401828789,1.6048393003247604e-07,1.0509076219546e-06,1.0,0.0,0.4142643539100713,0.3044355908791526,0.0013501517994551828,0.004543882401828789,1.6048393003247604e-07,1.0509076219546e-06,1.0,0.0,0.4142643539100713,0.3044355908791526,0.7983696746826172,0.005425668718441498,0.7981859683990479,0.005588167025717538
df3,0.25,True,-1.0,0.25,1.0,0.0,1.0,3.4944956280066805e-06,1.335430150914141e-05,1.0273858354796553e-10,5.069612435703937e-10,1.0,0.0,0.39217457786350207,0.24596037376436555,3.4944956280066805e-06,1.335430150914141e-05,1.0273858354796553e-10,5.069612435703937e-10,1.0,0.0,0.39217457786350207,0.24596037376436555,0.7979130113124847,0.004188684156939185,0.7990173304080963,0.005239536283509831
