setting,delta,valid_cov,mu1,mu2,cov11,cov12,cov22,pval_mean,pval_std,pval_base_mean,pval_base_std,pval_recon_mean,pval_recon_std,pval_uniform_mean,pval_uniform_std,ks_p_prop_mean,ks_p_prop_std,ks_p_base_mean,ks_p_base_std,ks_p_recon_mean,ks_p_recon_std,ks_p_uniform_mean,ks_p_uniform_std,cvm_p_prop_mean,cvm_p_prop_std,cvm_p_base_mean,cvm_p_base_std,cvm_p_recon_mean,cvm_p_recon_std,cvm_p_uniform_mean,cvm_p_uniform_std,ad_p_prop_mean,ad_p_prop_std,ad_p_base_mean,ad_p_base_std,ad_p_recon_mean,ad_p_recon_std,ad_p_uniform_mean,ad_p_uniform_std,ks_u_stat_prop_mean,ks_u_stat_prop_std,ks_u_stat_base_mean,ks_u_stat_base_std,ks_u_stat_recon_mean,ks_u_stat_recon_std,ks_u_stat_uniform_mean,ks_u_stat_uniform_std,ks_u_p_prop_mean,ks_u_p_prop_std,ks_u_p_base_mean,ks_u_p_base_std,ks_u_p_recon_mean,ks_u_p_recon_std,ks_u_p_uniform_mean,ks_u_p_uniform_std,mmd_u_prop_mean,mmd_u_prop_std,mmd_u_base_mean,mmd_u_base_std,mmd_u_recon_mean,mmd_u_recon_std,mmd_u_uniform_mean,mmd_u_uniform_std,wass_u_prop_mean,wass_u_prop_std,wass_u_base_mean,wass_u_base_std,wass_u_recon_mean,wass_u_recon_std,wass_u_uniform_mean,wass_u_uniform_std,label_prob_base_mean,label_prob_base_std,label_prob_shift_mean,label_prob_shift_std
df1,0.5,True,0.0,0.5,1.0,0.0,1.0,1.0,0.0,0.17027528728963268,0.19865822398961056,0.3176112884086922,0.2813246021810047,0.04857446951277821,0.15006631492268638,1.0,0.0,0.17027528728963268,0.19865822398961056,0.3176112884086922,0.2813246021810047,0.04857446951277821,0.15006631492268638,1.0,0.0,0.13799569122821762,0.18213877527875916,0.2749868597730788,0.2497217969521744,0.038542367972304904,0.14012676155194,1.0,0.0,0.0007779384026296319,0.0008387173734653831,0.0013272121068572406,0.0009159130702795711,0.00017964127691581577,0.0005770174097256329,1.0,0.0,0.031769413420677184,0.005809814298406925,0.8769138963654042,8.468253095382737e-05,0.5326809120977185,0.006394132143253375,0.0,0.0,0.0032837467117372925,0.014417099200164193,0.0,0.0,0.0,0.0,0.42880600452423095,0.005336516333793673,0.00044468879699707033,0.0002535361433120981,0.32409780025482177,0.005221675861861013,0.1316715359687805,0.002180951990365607,0.5003082861136829,0.0038524156060265008,0.014789773372200068,0.003402434134849305,0.41194239361320084,0.003766880146397054,0.24987921283405576,0.0021770833552183047,0.9257116889953614,0.0032816738264049,0.9252813196182251,0.0033524758211611848
df1,0.55,True,0.0,0.55,1.0,0.0,1.0,1.0,0.0,0.1335686971474635,0.18913587771076035,0.26908377264858446,0.22464327723741362,0.010049740786036767,0.039343608602116754,1.0,0.0,0.1335686971474635,0.18913587771076035,0.26908377264858446,0.22464327723741362,0.010049740786036767,0.039343608602116754,1.0,0.0,0.10780581908844104,0.16542970340566318,0.24895399527961712,0.21761467074353005,0.002887162196539008,0.011896063084791693,1.0,0.0,0.0005891771068529551,0.0008036117296090965,0.001241333966454052,0.0009049300712849677,2.0611248831854267e-05,5.353272529134748e-05,1.0,0.0,0.03275017647695541,0.005286184961658196,0.8769100450925827,0.00010409599334039331,0.5382404903492332,0.006550663043398655,0.0,0.0,0.0014210608193334193,0.004002792725336093,0.0,0.0,0.0,0.0,0.42812113046646116,0.005892275488313005,0.0004853940010070801,0.00023082102457710544,0.32358330488204956,0.005655411753210688,0.1324040699005127,0.0025681233852128207,0.4996627357240856,0.0039627510463322415,0.015502701473963786,0.003023900754857818,0.41143842117093354,0.0038863588924900514,0.2505436066067436,0.0025697407870800076,0.9258612823486329,0.00333529532708541,0.9252821147441864,0.003108973617485796
df1,0.6000000000000001,True,0.0,0.6000000000000001,1.0,0.0,1.0,1.0,0.0,0.07909625429981064,0.11388027856974578,0.20170898453614303,0.1970914658425554,0.010677817450481327,0.04894747636771509,1.0,0.0,0.07909625429981064,0.11388027856974578,0.20170898453614303,0.1970914658425554,0.010677817450481327,0.04894747636771509,1.0,0.0,0.07371977443423751,0.09661165323458533,0.18966065217907205,0.1888716873376455,0.004789816136440159,0.02566328152975308,1.0,0.0,0.0005008905027937949,0.0006928314877311297,0.0010430923729083743,0.0009608770965066507,4.060672766144344e-05,0.0001993055920963948,1.0,0.0,0.032947986082553865,0.005726897092269804,0.8768985035471917,9.32896611624154e-05,0.5404911801960021,0.0078047049451381795,0.0,0.0,0.0006822687683982737,0.0017619554298710033,0.0,0.0,0.0,0.0,0.42718470335006714,0.005282822833123433,0.0004871129989624023,0.0002080609490718015,0.3229101228713989,0.005052314362465894,0.13235498905181886,0.0025604005340175624,0.4992551830899026,0.0035865827131632494,0.015562152564919204,0.0027719402591086907,0.4113268444051763,0.0035187173321210487,0.2502532435050043,0.002387708587760964,0.9260272014141083,0.003729009659400753,0.9244395339488983,0.0038321950813687924
df1,0.65,True,0.0,0.65,1.0,0.0,1.0,1.0,0.0,0.1047801788721021,0.13598187525662433,0.12725622929809113,0.16990293982294546,0.0006601319639008839,0.0014006495196212318,1.0,0.0,0.1047801788721021,0.13598187525662433,0.12725622929809113,0.16990293982294546,0.0006601319639008839,0.0014006495196212318,1.0,0.0,0.0810779771022206,0.1016652703268541,0.10626737466021485,0.15843787217700275,0.0005422855672371862,0.0031971077767944858,1.0,0.0,0.0004687155988464935,0.0006473340594931124,0.0006057214962947423,0.000835311824331836,1.1756014236772675e-05,1.241689574682078e-05,1.0,0.0,0.033440096767902376,0.004540852983686635,0.8769129221274854,9.61909467374165e-05,0.5441213963499106,0.007404602383700727,0.0,0.0,0.00020946021377018595,0.00041051311409137403,0.0,0.0,0.0,0.0,0.4277510595321655,0.005319585540873103,0.0005037426948547363,0.00021596716256866674,0.3237339663505554,0.005222236551232973,0.13292438745498658,0.0024989423982061183,0.4996502460917298,0.003709949919495286,0.01576100043294693,0.00288831543601252,0.41196126079383605,0.0036941396980784756,0.25081758023064465,0.0024280903211610716,0.9255038690567017,0.003569989088499233,0.9247259676456452,0.0037921430906045885
df1,0.7000000000000001,True,0.0,0.7000000000000001,1.0,0.0,1.0,1.0,0.0,0.07794906616471155,0.09894179517686484,0.06597939525488354,0.0983096833627184,0.00032327058386579893,0.0012488684880819145,1.0,0.0,0.07794906616471155,0.09894179517686484,0.06597939525488354,0.0983096833627184,0.00032327058386579893,0.0012488684880819145,1.0,0.0,0.05927624449865929,0.07542936746648032,0.04841054178732099,0.08208038507282797,0.00010750604101257277,0.0004986821167628559,1.0,0.0,0.00035625522506035646,0.0004733846716187386,0.00025791563851038226,0.0004629038820609384,1e-05,0.0,1.0,0.0,0.03418645323705673,0.005013073099233775,0.8769291700692178,0.00010406047078100399,0.5471026977584585,0.006858451192106211,0.0,0.0,0.0002040324169094351,0.0004200290644693439,0.0,0.0,0.0,0.0,0.4280634832382202,0.006205199039198283,0.0005523538589477539,0.00024625710714701364,0.32415329694747924,0.006080057139061874,0.1335647511482239,0.0024590696670638086,0.49973284809388324,0.004360365141152935,0.016415350456448586,0.00317280009060589,0.4121288780138631,0.004317978785558893,0.25145878735975785,0.0024149036070865715,0.9262676286697388,0.0031142679721752253,0.9252007579803467,0.0029367435065888563
df1,0.75,True,0.0,0.75,1.0,0.0,1.0,1.0,0.0,0.04635855064628856,0.07696374425919279,0.04023719268864533,0.0800520408897353,0.002185317012286843,0.01248033547464288,1.0,0.0,0.04635855064628856,0.07696374425919279,0.04023719268864533,0.0800520408897353,0.002185317012286843,0.01248033547464288,1.0,0.0,0.036322962571064266,0.048446289659128505,0.025546485308397343,0.05874995941531793,0.0009112503453169474,0.005579729096126833,1.0,0.0,0.00021078352182510527,0.0003189753697307877,0.0001520240572786127,0.00040210466838168775,1.2614996305169331e-05,1.8490816201629992e-05,1.0,0.0,0.03524547478342057,0.005579961819447513,0.8769376714119912,0.00010332293626672085,0.5481956276498362,0.008379851389609819,0.0,0.0,0.0003828140640348601,0.0010464759521276272,0.0,0.0,0.0,0.0,0.42705167770385744,0.006504432111640744,0.000639035701751709,0.00024404259893174288,0.32369834184646606,0.006353669156779734,0.13306520462036134,0.002177401329827368,0.49948900991041223,0.004679766289152251,0.017656703448785453,0.0030292397834393004,0.4122387995924652,0.004624992866568423,0.2509378346794683,0.002082122222532051,0.9253336155414581,0.003271081778626887,0.9247994220256806,0.003993924083359076
df1,0.8,True,0.0,0.8,1.0,0.0,1.0,1.0,0.0,0.06794607942835013,0.10077300818602757,0.01750013825745485,0.08241874424655204,0.00031755765299245215,0.0018098938701174739,1.0,0.0,0.06794607942835013,0.10077300818602757,0.01750013825745485,0.08241874424655204,0.00031755765299245215,0.0018098938701174739,1.0,0.0,0.049866659248321794,0.06873936155292408,0.015867001545408203,0.08553319070818673,6.045510376418983e-05,0.0002851390431710353,1.0,0.0,0.0002757443752616416,0.00040901984282768156,7.34480028267944e-05,0.00035285610639917774,1e-05,0.0,1.0,0.0,0.03407448278951644,0.004409659906920771,0.8769766487178802,0.0001308314134587436,0.5521395283741765,0.006334167686210955,0.0,0.0,0.00015904112975320716,0.0002837383370756432,0.0,0.0,0.0,0.0,0.42975741147994995,0.005780253450675561,0.0005324411392211914,0.00018961751148759818,0.32650844812393187,0.00568199061051858,0.13484599351882934,0.0020529773587178867,0.5009256379489916,0.0042891504358964355,0.0161091049817089,0.0023020152944496176,0.41391959385494714,0.004247333618658175,0.25254017936361833,0.0020528733236156896,0.9264943206310272,0.003743897326368685,0.9240076303482055,0.0033064628152317662
df1,0.8500000000000001,True,0.0,0.8500000000000001,1.0,0.0,1.0,1.0,0.0,0.0635407128895589,0.0880616147583732,0.0017111745888369028,0.003654287674651961,3.5188385382642064e-06,1.2326376142530594e-05,1.0,0.0,0.0635407128895589,0.0880616147583732,0.0017111745888369028,0.003654287674651961,3.5188385382642064e-06,1.2326376142530594e-05,1.0,0.0,0.0441834405472086,0.05412335150976166,0.0009184833003213688,0.0021793343624596138,6.640373148680823e-08,2.444023078721509e-07,1.0,0.0,0.0002477734433044305,0.0003596572902204273,1.3267427953016042e-05,1.0786198837393597e-05,1e-05,0.0,1.0,0.0,0.03424965796279908,0.00485331548527773,0.8769720196449758,0.00013819799880382313,0.5558279585041777,0.006632503573710248,0.0,0.0,0.00032135543515637193,0.0009232680908346731,0.0,0.0,0.0,0.0,0.4287073826789856,0.005989870786076933,0.0006096482276916504,0.00022326431573769923,0.32590466260910034,0.005992962521593575,0.13486933708190918,0.002408541486104487,0.5004143398596752,0.004475344568414737,0.017289761071221762,0.0028593489517666076,0.41369301768295885,0.004466400692017465,0.2526355858031751,0.0023495315386466422,0.9257970416545868,0.0036724496431177365,0.9245238208770752,0.004061811728236842
df1,0.9,True,0.0,0.9,1.0,0.0,1.0,1.0,0.0,0.05698138781134598,0.07128062789425609,1.8930716314878605e-05,8.211661847095193e-05,1.307484759952958e-05,5.445472975859237e-05,1.0,0.0,0.05698138781134598,0.07128062789425609,1.8930716314878605e-05,8.211661847095193e-05,1.307484759952958e-05,5.445472975859237e-05,1.0,0.0,0.04620776705415443,0.06850276908753514,4.010218693428325e-05,0.00018949928750832944,2.219343786107331e-06,1.2875463284393592e-05,1.0,0.0,0.0002823221928714197,0.0005063659369302993,1e-05,0.0,1e-05,0.0,1.0,0.0,0.03473117515134811,0.003906245470129774,0.8769316650111675,9.79941010304411e-05,0.5589953150732742,0.006241870028810907,0.0,0.0,9.410851670864565e-05,0.00018408832498579183,0.0,0.0,0.0,0.0,0.42788291215896607,0.005807703103991267,0.0006195712089538574,0.00027580115180657924,0.3254374980926514,0.005689354200722752,0.13521819353103637,0.0027012849955907825,0.49994918005131095,0.003991267090633107,0.017249681714701478,0.0033875053849423092,0.4135945631994838,0.004012898210175302,0.2527545985921893,0.002635206564451407,0.9253297853469848,0.003610562689517683,0.9255856359004975,0.002991698414256527
df1,0.9500000000000001,True,0.0,0.9500000000000001,1.0,0.0,1.0,1.0,0.0,0.06956262889450639,0.11141682464576716,4.946953364829751e-07,1.762840044133526e-06,1.0379967870728649e-06,3.5681320979889695e-06,1.0,0.0,0.06956262889450639,0.11141682464576716,4.946953364829751e-07,1.762840044133526e-06,1.0379967870728649e-06,3.5681320979889695e-06,1.0,0.0,0.05881808137221158,0.10536210734711751,1.9971332471313552e-06,1.3446900512446458e-05,1.9587741593163342e-08,8.786981391261389e-08,1.0,0.0,0.0003290549868347114,0.0005666106852485449,1e-05,0.0,1e-05,0.0,1.0,0.0,0.034470421130657194,0.004425540011120139,0.8769482872700692,0.00013512373390166623,0.5624086974991858,0.007237001103565186,0.0,0.0,0.00035613139626617995,0.0012532272144982948,0.0,0.0,0.0,0.0,0.42826231956481936,0.005473916996191999,0.0006238985061645508,0.0001932688312072632,0.32634955644607544,0.005164771988704046,0.13564382314682008,0.0026832281303442976,0.5003841433939485,0.0035383122786633216,0.017514736647847237,0.002534170450865488,0.41444466381923867,0.00349744102559191,0.2531653796492523,0.002464491196783334,0.926253411769867,0.003444230744762348,0.9254348862171173,0.002967603505845314
