setting,delta,valid_cov,mu1,mu2,cov11,cov12,cov22,pval_mean,pval_std,pval_base_mean,pval_base_std,pval_recon_mean,pval_recon_std,pval_uniform_mean,pval_uniform_std,pval_label_mean,pval_label_std,ks_p_prop_mean,ks_p_prop_std,ks_p_base_mean,ks_p_base_std,ks_p_recon_mean,ks_p_recon_std,ks_p_uniform_mean,ks_p_uniform_std,label_prob_base_mean,label_prob_base_std,label_prob_shift_mean,label_prob_shift_std
df2,0.1,True,0.1,0.0,1.0,0.0,1.0,0.4180693551136837,0.289726698972313,0.17296976952509172,0.23508889336033983,0.07742824406654296,0.15647961766160193,0.07593564083526422,0.11452852809566974,0.9842655617878892,0.03305911466873718,0.4180693551136837,0.289726698972313,0.17296976952509172,0.23508889336033983,0.07742824406654296,0.15647961766160193,0.07593564083526422,0.11452852809566974,0.9177526879310608,0.006541320678446687,0.9187129628658295,0.006191263614684806
df2,0.15000000000000002,True,0.15000000000000002,0.0,1.0,0.0,1.0,0.26772551147761,0.24700258934843686,0.045717093077812104,0.11810095777576404,0.005543762855653589,0.02061283859940868,0.004871168738935675,0.01364123052564491,0.9794499667185561,0.042444516006811026,0.26772551147761,0.24700258934843686,0.045717093077812104,0.11810095777576404,0.005543762855653589,0.02061283859940868,0.004871168738935675,0.01364123052564491,0.9186602532863617,0.005552590168738913,0.9174095642566681,0.005321231869644824
df2,0.2,True,0.2,0.0,1.0,0.0,1.0,0.15253496675663356,0.17520371388373296,0.008247279627041783,0.023243168317245363,0.0003541993244824181,0.0012155484375607772,0.00024110372575079965,0.0013019391309122789,0.9169822775531796,0.16441990277890173,0.15253496675663356,0.17520371388373296,0.008247279627041783,0.023243168317245363,0.0003541993244824181,0.0012155484375607772,0.00024110372575079965,0.0013019391309122789,0.9174494874477387,0.005689004227007812,0.9129996180534363,0.006496225573730367
df2,0.25,True,0.25,0.0,1.0,0.0,1.0,0.1291945303600476,0.1791105764734787,0.0008223116741256757,0.0019181423559900246,3.4824098486395764e-06,2.362845451310324e-05,4.331929697781787e-07,2.3687362340292673e-06,0.8722386902197767,0.1583952090720724,0.1291945303600476,0.1791105764734787,0.0008223116741256757,0.0019181423559900246,3.4824098486395764e-06,2.362845451310324e-05,4.331929697781787e-07,2.3687362340292673e-06,0.9180605661869049,0.00634280516990585,0.9095347619056702,0.005388583033413675
df2,0.30000000000000004,True,0.30000000000000004,0.0,1.0,0.0,1.0,0.05404155468774116,0.08507762202470132,0.003594175817081105,0.02438013270566583,6.618491887413501e-08,4.0435693754875586e-07,5.7279351097668916e-08,4.036701230266838e-07,0.7314679284879211,0.2405245459714759,0.05404155468774116,0.08507762202470132,0.003594175817081105,0.02438013270566583,6.618491887413501e-08,4.0435693754875586e-07,5.7279351097668916e-08,4.036701230266838e-07,0.9192559015750885,0.004976124936392837,0.9057283902168274,0.006735388653320714
df2,0.35000000000000003,True,0.35000000000000003,0.0,1.0,0.0,1.0,0.020399786388790097,0.035772585947524756,2.489836924463374e-06,7.978108759952949e-06,1.0836864457573759e-11,7.242552846329965e-11,2.3423936846082636e-12,1.6164527286087848e-11,0.6337598697969699,0.2908343239292598,0.020399786388790097,0.035772585947524756,2.489836924463374e-06,7.978108759952949e-06,1.0836864457573759e-11,7.242552846329965e-11,2.3423936846082636e-12,1.6164527286087848e-11,0.9192931830883027,0.006419549701260883,0.9031062352657319,0.006968056384730797
df2,0.4,True,0.4,0.0,1.0,0.0,1.0,0.018633982254358705,0.04676308516007555,1.6482406515787504e-06,6.466683361066124e-06,2.279533466706233e-16,1.0077150389761846e-15,2.867933848405879e-16,1.5782952459611831e-15,0.4395841385652315,0.3115597150298662,0.018633982254358705,0.04676308516007555,1.6482406515787504e-06,6.466683361066124e-06,2.279533466706233e-16,1.0077150389761846e-15,2.867933848405879e-16,1.5782952459611831e-15,0.9191739988327027,0.005604697395072311,0.898118703365326,0.007702058732304274
df2,0.45,True,0.45,0.0,1.0,0.0,1.0,0.0023121349972303694,0.005827338641735264,3.049562229925312e-08,2.0745643338518785e-07,1.0362929470424252e-18,7.266709581686816e-18,5.897335716290133e-21,4.156549837023482e-20,0.2335527339460088,0.19426196433913387,0.0023121349972303694,0.005827338641735264,3.049562229925312e-08,2.0745643338518785e-07,1.0362929470424252e-18,7.266709581686816e-18,5.897335716290133e-21,4.156549837023482e-20,0.9194394564628601,0.0063234824479468064,0.893217523097992,0.005932413485865261
df2,0.5,True,0.5,0.0,1.0,0.0,1.0,0.0016596760950308024,0.004912533865225723,2.329030793909805e-09,1.289085743993083e-08,6.077636874301382e-20,4.297533211933779e-19,9.963615723222257e-26,7.015561363521515e-25,0.07098167874783892,0.10258817806625214,0.0016596760950308024,0.004912533865225723,2.329030793909805e-09,1.289085743993083e-08,6.077636874301382e-20,4.297533211933779e-19,9.963615723222257e-26,7.015561363521515e-25,0.9185917162895203,0.005607923017498401,0.8864903259277344,0.00603283956088866
df2,0.55,True,0.55,0.0,1.0,0.0,1.0,0.0007016971106527593,0.0031884834443567755,1.3203523136614958e-11,8.937281083985124e-11,6.170620674716105e-28,4.2995255318158824e-27,3.5280092362480436e-32,2.494412578673031e-31,0.022021429839902056,0.08986220670020294,0.0007016971106527593,0.0031884834443567755,1.3203523136614958e-11,8.937281083985124e-11,6.170620674716105e-28,4.2995255318158824e-27,3.5280092362480436e-32,2.494412578673031e-31,0.9176411724090576,0.006018265552006141,0.8793478834629059,0.007253488908587328
df2,0.6000000000000001,True,0.6000000000000001,0.0,1.0,0.0,1.0,0.0002758655953221789,0.0017193258224884888,2.1949833984236865e-13,1.384632814138353e-12,1.1681635001505442e-36,6.83899034902324e-36,2.090510893061481e-39,1.0171185466968359e-38,0.001108646167474692,0.002450182932807752,0.0002758655953221789,0.0017193258224884888,2.1949833984236865e-13,1.384632814138353e-12,1.1681635001505442e-36,6.83899034902324e-36,2.090510893061481e-39,1.0171185466968359e-38,0.918978990316391,0.005834362178933899,0.8729313719272613,0.006855652766182515
