model_name,epoch,train_divergence,val_divergence
regularization_only,71,0.0007143616676330566,-0.0012051582336425782
regularization_only,72,-0.00011245409647623698,-0.0011761999130249024
regularization_only,73,-0.0004970828692118326,-0.0012979507446289062
regularization_only,74,-0.00015602509180704752,-0.0011227464675903321
regularization_only,75,-0.0002190868059794108,-0.0012132549285888672
regularization_only,76,-6.0439109802246094e-05,-0.0013117742538452147
regularization_only,77,-6.496906280517578e-06,-0.0010347890853881837
regularization_only,78,0.0014868776003519695,-0.0008642911911010742
regularization_only,79,0.00027114152908325195,-0.0002153778076171875
regularization_only,80,0.00044878323872884113,-0.0006594419479370117
regularization_only,81,0.00013138850529988608,-0.0011306285858154296
regularization_only,82,0.0002779960632324219,-0.0010008621215820313
regularization_only,83,0.0008660356203715006,2.7942657470703126e-05
regularization_only,84,-0.0002140204111735026,-0.0010523509979248047
regularization_only,85,-0.00041800737380981445,-0.0012967634201049806
regularization_only,86,-0.00011877218882242839,-0.0012554216384887695
regularization_only,87,-0.0003777345021565755,-0.0013750171661376953
regularization_only,88,-0.00031948089599609375,-0.0012617826461791993
regularization_only,89,-0.0004120071729024251,-0.0012653636932373046
regularization_only,90,-0.00020627180735270181,0.00014728546142578125
regularization_only,91,0.000908056894938151,-0.0012814903259277344
regularization_only,92,0.0008383393287658691,0.0006407594680786133
regularization_only,93,0.0009499788284301758,0.0006029796600341797
regularization_only,94,2.8947989145914715e-05,-0.0012363672256469726
regularization_only,95,2.8192996978759766e-05,-0.0013181638717651367
regularization_only,96,-0.00024447838465372723,-0.000665593147277832
regularization_only,97,0.0006453792254130045,-0.0004888582229614258
regularization_only,98,-0.00016564130783081055,-0.00116790771484375
regularization_only,99,-0.0001984238624572754,-0.00036818504333496093
regularization_only,100,-5.076328913370768e-05,-0.0012971258163452148
regularization_only,101,-0.00010093053181966145,-0.0008172178268432617
regularization_only,102,0.0001980463663736979,-0.0012925481796264649
regularization_only,103,0.00011863311131795247,-0.001266622543334961
regularization_only,104,0.00034495194753011066,-0.0005536031723022461
regularization_only,105,-0.00017525752385457358,-0.0008832645416259765
regularization_only,106,0.0005858143170674642,-0.0008161544799804687
regularization_only,107,0.00011525551478068034,0.0005812549591064453
regularization_only,108,0.0001308917999267578,-0.0009610891342163086
regularization_only,109,6.016095479329427e-05,-0.0011483860015869141
