delta,label_prob_base_mean,label_prob_base_std,label_prob_shift_mean,label_prob_shift_std,setting
0.0,0.799891768693924,0.005166293239510704,0.8011278676986694,0.005714895396408107,df3
0.05,0.7997814798355103,0.004575243450418147,0.8002660727500915,0.005064353027557535,df3
0.1,0.8024333453178406,0.004833762079596582,0.8006723868846893,0.005807498934577697,df3
0.15000000000000002,0.8004588449001312,0.004254056072432805,0.800539391040802,0.005233549745054549,df3
0.2,0.8007502043247223,0.004930159151244156,0.7999124729633331,0.005941584410543502,df3
0.25,0.8004355812072754,0.0059800920446597345,0.8008993303775788,0.005710797943559766,df3
0.30000000000000004,0.8006244385242463,0.00480909643713892,0.8004775440692902,0.0054711661419854,df3
0.35000000000000003,0.8003975999355316,0.00523025405481578,0.799359860420227,0.006907023641856597,df3
0.4,0.8004232811927795,0.005185806773269264,0.7998515975475311,0.005516008000581935,df3
0.45,0.8001883208751679,0.0062523453436154845,0.8000126039981842,0.004504915356438983,df3
0.5,0.8019074738025666,0.005282748489961412,0.8001294612884522,0.005693656804303786,df3
0.55,0.8005260670185089,0.006110399489271046,0.8007166028022766,0.005033231524362739,df3
0.6000000000000001,0.8008584904670716,0.0043638501718685435,0.8009420812129975,0.005308977827507465,df3
0.65,0.8024060463905335,0.004707381356977837,0.8006844472885132,0.004766382851486292,df3
0.7000000000000001,0.8014895355701447,0.005023553115216005,0.8011295866966247,0.005066065844401447,df3
0.75,0.8010695958137513,0.005205893887827815,0.8034546613693238,0.0056761057052188615,df3
0.8,0.8014498591423035,0.005204670260101345,0.803457225561142,0.0052054015285403765,df3
0.8500000000000001,0.8020463907718658,0.005413570380005932,0.8054384803771972,0.005289198825469122,df3
0.9,0.8009961760044098,0.005117663487548824,0.8029911363124848,0.00494371635777521,df3
0.9500000000000001,0.80110680103302,0.005689906060090619,0.805700021982193,0.005579276411373371,df3
1.0,0.7995745468139649,0.005982244679132778,0.808108252286911,0.005889954301941963,df3
